id,color,color_name,order
743,NULL,"{""en"": ""yellow"", ""ja"": ""黄色""}",9
1004,NULL,"{""en"": ""black"", ""ja"": ""黒""}",1
1232,NULL,"{""en"": ""purple"", ""ja"": ""紫""}",13
1303,NULL,"{""en"": ""red"", ""ja"": ""赤""}",6
1466,NULL,"{""en"": ""navy"", ""ja"": ""ネイビー""}",11
2467,NULL,"{""en"": ""orange"", ""ja"": ""オレンジ""}",8
2903,NULL,"{""en"": ""beige"", ""ja"": ""ベージュ""}",5
3599,NULL,"{""en"": ""green"", ""ja"": ""緑""}",10
4129,NULL,"{""en"": ""brown"", ""ja"": ""茶色""}",4
5789,NULL,"{""en"": ""white"", ""ja"": ""ホワイト""}",3
5828,NULL,"{""en"": ""pink"", ""ja"": ""ピンク""}",7
6865,NULL,"{""en"": ""grey"", ""ja"": ""グレー""}",2
6894,NULL,"{""en"": ""blue"", ""ja"": ""青""}",12
7723,NULL,"{""en"": ""silver"", ""ja"": ""シルバー""}",15
8618,NULL,"{""en"": ""gold"", ""ja"": ""ゴールド""}",14