brand,series,pencil_color,code,order,english,japanese,pencil_name
4,1,#FFFFFF,101,1,white,,"{""ja"":"""", ""en"": ""white""}"
4,1,#FFF4D8,103,2,ivory,,"{""ja"":"""", ""en"": ""ivory""}"
4,1,#FFF1B6,102,3,cream,,"{""ja"":"""", ""en"": ""cream""}"
4,1,#F3EF6F,104,4,light yellow glaze,,"{""ja"":"""", ""en"": ""light yellow glaze""}"
4,1,#EBEA64,205,5,cadmium yellow lemon,,"{""ja"":"""", ""en"": ""cadmium yellow lemon""}"
4,1,#FFE73E,105,6,light cadmium yellow,,"{""ja"":"""", ""en"": ""light cadmium yellow""}"
4,1,#FFDE45,106,7,light chrome yellow,,"{""ja"":"""", ""en"": ""light chrome yellow""}"
4,1,#FFD530,107,8,cadmium yellow,,"{""ja"":"""", ""en"": ""cadmium yellow""}"
4,1,#FFC220,108,9,dark cadmium yellow,,"{""ja"":"""", ""en"": ""dark cadmium yellow""}"
4,1,#FAA632,109,10,dark chrome yellow,,"{""ja"":"""", ""en"": ""dark chrome yellow""}"
4,1,#F78F26,111,11,cadmium orange,,"{""ja"":"""", ""en"": ""cadmium orange""}"
4,1,#F48034,113,12,orange glaze,,"{""ja"":"""", ""en"": ""orange glaze""}"
4,1,#F47933,115,13,dark cadmium orange,,"{""ja"":"""", ""en"": ""dark cadmium orange""}"
4,1,#F05544,117,14,light cadmium red,,"{""ja"":"""", ""en"": ""light cadmium red""}"
4,1,#E84D47,118,15,scarlet red,,"{""ja"":"""", ""en"": ""scarlet red""}"
4,1,#EF4650,121,16,pale geranium lake,,"{""ja"":"""", ""en"": ""pale geranium lake""}"
4,1,#E8495E,219,17,deep scarlet red,,"{""ja"":"""", ""en"": ""deep scarlet red""}"
4,1,#E42F44,223,18,deep red,,"{""ja"":"""", ""en"": ""deep red""}"
4,1,#BC454F,217,19,middle cadmium red,,"{""ja"":"""", ""en"": ""middle cadmium red""}"
4,1,#D82C4A,126,20,permanent carmine,,"{""ja"":"""", ""en"": ""permanent carmine""}"
4,1,#A63055,225,21,dark red,,"{""ja"":"""", ""en"": ""dark red""}"
4,1,#934E67,133,22,magenta,,"{""ja"":"""", ""en"": ""magenta""}"
4,1,#CD3F5C,142,23,madder,,"{""ja"":"""", ""en"": ""madder""}"
4,1,#DF2D5D,226,24,alizarin crimson,,"{""ja"":"""", ""en"": ""alizarin crimson""}"
4,1,#E85274,127,25,pink carmine,,"{""ja"":"""", ""en"": ""pink carmine""}"
4,1,#E95C72,124,26,rose carmine,,"{""ja"":"""", ""en"": ""rose carmine""}"
4,1,#EF4C86,123,27,fuchsia,,"{""ja"":"""", ""en"": ""fuchsia""}"
4,1,#C3408B,125,28,middle purple pink,,"{""ja"":"""", ""en"": ""middle purple pink""}"
4,1,#F06D98,128,29,light purple pink,,"{""ja"":"""", ""en"": ""light purple pink""}"
4,1,#F389B2,129,30,pink madder lake,,"{""ja"":"""", ""en"": ""pink madder lake""}"
4,1,#D786B9,119,31,light magenta,,"{""ja"":"""", ""en"": ""light magenta""}"
4,1,#AB68A1,135,32,light red-violet,,"{""ja"":"""", ""en"": ""light red-violet""}"
4,1,#88496D,194,33,red-violet,,"{""ja"":"""", ""en"": ""red-violet""}"
4,1,#A14D9D,134,34,crimson,,"{""ja"":"""", ""en"": ""crimson""}"
4,1,#9A69AD,160,35,manganese violet,,"{""ja"":"""", ""en"": ""manganese violet""}"
4,1,#8A6BAF,138,36,violet,,"{""ja"":"""", ""en"": ""violet""}"
4,1,#7358A0,136,37,purple violet,,"{""ja"":"""", ""en"": ""purple violet""}"
4,1,#59529E,137,38,blue violet,,"{""ja"":"""", ""en"": ""blue violet""}"
4,1,#6157A1,249,39,mauve,,"{""ja"":"""", ""en"": ""mauve""}"
4,1,#484F9F,141,40,Delft blue,,"{""ja"":"""", ""en"": ""Delft blue""}"
4,1,#3E4A5B,157,41,dark indigo,,"{""ja"":"""", ""en"": ""dark indigo""}"
4,1,#445E98,247,42,indanthrene blue,,"{""ja"":"""", ""en"": ""indanthrene blue""}"
4,1,#1770B8,151,43,helioblue-reddish,,"{""ja"":"""", ""en"": ""helioblue-reddish""}"
4,1,#056AB5,143,44,cobalt blue,,"{""ja"":"""", ""en"": ""cobalt blue""}"
4,1,#506DB4,120,45,ultramarine,,"{""ja"":"""", ""en"": ""ultramarine""}"
4,1,#659AD2,140,46,light ultramarine,,"{""ja"":"""", ""en"": ""light ultramarine""}"
4,1,#86B2DF,146,47,sky blue,,"{""ja"":"""", ""en"": ""sky blue""}"
4,1,#156DB6,144,48,cobalt blue-greenish,,"{""ja"":"""", ""en"": ""cobalt blue-greenish""}"
4,1,#0B7DC2,110,49,phthalo blue,,"{""ja"":"""", ""en"": ""phthalo blue""}"
4,1,#309CD6,152,50,middle phthalo blue,,"{""ja"":"""", ""en"": ""middle phthalo blue""}"
4,1,#43ACE1,145,51,light phthalo blue,,"{""ja"":"""", ""en"": ""light phthalo blue""}"
4,1,#0077A2,149,52,bluish turquoise,,"{""ja"":"""", ""en"": ""bluish turquoise""}"
4,1,#126495,246,53,Prussian blue,,"{""ja"":"""", ""en"": ""Prussian blue""}"
4,1,#087E90,155,54,helio turquoise,,"{""ja"":"""", ""en"": ""helio turquoise""}"
4,1,#0082A2,153,55,cobalt turquoise,,"{""ja"":"""", ""en"": ""cobalt turquoise""}"
4,1,#66CBDA,154,56,light cobalt turquoise,,"{""ja"":"""", ""en"": ""light cobalt turquoise""}"
4,1,#01BABD,156,57,cobalt green,,"{""ja"":"""", ""en"": ""cobalt green""}"
4,1,#146B60,158,58,deep cobalt green,,"{""ja"":"""", ""en"": ""deep cobalt green""}"
4,1,#0B7764,159,59,Hooker´s green,,"{""ja"":"""", ""en"": ""Hooker´s green""}"
4,1,#009378,264,60,dark phthalo green,,"{""ja"":"""", ""en"": ""dark phthalo green""}"
4,1,#00987F,276,61,chrome oxide green fiery,,"{""ja"":"""", ""en"": ""chrome oxide green fiery""}"
4,1,#00B091,161,62,phthalo green,,"{""ja"":"""", ""en"": ""phthalo green""}"
4,1,#0CB074,163,63,emerald green,,"{""ja"":"""", ""en"": ""emerald green""}"
4,1,#38BB8F,162,64,light phthalo green,,"{""ja"":"""", ""en"": ""light phthalo green""}"
4,1,#A0D185,171,65,light green,,"{""ja"":"""", ""en"": ""light green""}"
4,1,#76C25F,166,66,grass green,,"{""ja"":"""", ""en"": ""grass green""}"
4,1,#49B95C,112,67,leaf green,,"{""ja"":"""", ""en"": ""leaf green""}"
4,1,#278A46,266,68,permanent green,,"{""ja"":"""", ""en"": ""permanent green""}"
4,1,#4C7A4F,167,69,permanent green olive,,"{""ja"":"""", ""en"": ""permanent green olive""}"
4,1,#315C48,267,70,pine green,,"{""ja"":"""", ""en"": ""pine green""}"
4,1,#4A614B,278,71,chrome oxide green,,"{""ja"":"""", ""en"": ""chrome oxide green""}"
4,1,#44694D,165,72,juniper green,,"{""ja"":"""", ""en"": ""juniper green""}"
4,1,#5B5D44,173,73,olive green yellowish,,"{""ja"":"""", ""en"": ""olive green yellowish""}"
4,1,#9FBB56,170,74,may green,,"{""ja"":"""", ""en"": ""may green""}"
4,1,#82A255,168,75,earth green yellowish,,"{""ja"":"""", ""en"": ""earth green yellowish""}"
4,1,#65714F,174,76,chromium green opaque,,"{""ja"":"""", ""en"": ""chromium green opaque""}"
4,1,#738C70,172,77,earth green,,"{""ja"":"""", ""en"": ""earth green""}"
4,1,#9A5D58,169,78,caput mortuum,,"{""ja"":"""", ""en"": ""caput mortuum""}"
4,1,#91474A,192,79,Indian red,,"{""ja"":"""", ""en"": ""Indian red""}"
4,1,#824E51,263,80,caput mortuum violet,,"{""ja"":"""", ""en"": ""caput mortuum violet""}"
4,1,#AA5164,193,81,burnt carmine,,"{""ja"":"""", ""en"": ""burnt carmine""}"
4,1,#F69892,130,82,salmon,,"{""ja"":"""", ""en"": ""salmon""}"
4,1,#F69C99,131,83,coral,,"{""ja"":"""", ""en"": ""coral""}"
4,1,#FBC29F,132,84,beige red,,"{""ja"":"""", ""en"": ""beige red""}"
4,1,#E4A893,189,85,cinnamon,,"{""ja"":"""", ""en"": ""cinnamon""}"
4,1,#E77C83,191,86,Pompeian red,,"{""ja"":"""", ""en"": ""Pompeian red""}"
4,1,#DC7E76,190,87,Venetian red,,"{""ja"":"""", ""en"": ""Venetian red""}"
4,1,#D77255,188,88,sanguine,,"{""ja"":"""", ""en"": ""sanguine""}"
4,1,#D89763,187,89,burnt ochre,,"{""ja"":"""", ""en"": ""burnt ochre""}"
4,1,#EC8E59,186,90,terracotta,,"{""ja"":"""", ""en"": ""terracotta""}"
4,1,#FCBC5F,183,91,light yellow ochre,,"{""ja"":"""", ""en"": ""light yellow ochre""}"
4,1,#F8D25A,185,92,Naples yellow,,"{""ja"":"""", ""en"": ""Naples yellow""}"
4,1,#F5C25B,184,93,dark Naples ochre,,"{""ja"":"""", ""en"": ""dark Naples ochre""}"
4,1,#CA9439,268,94,green gold,,"{""ja"":"""", ""en"": ""green gold""}"
4,1,#C4925D,182,95,brown ochre,,"{""ja"":"""", ""en"": ""brown ochre""}"
4,1,#9A734A,180,96,raw umber,,"{""ja"":"""", ""en"": ""raw umber""}"
4,1,#7C604C,179,97,bistre,,"{""ja"":"""", ""en"": ""bistre""}"
4,1,#6C5954,176,98,Van Dyck brown,,"{""ja"":"""", ""en"": ""Van Dyck brown""}"
4,1,#927C6B,178,99,nougat,,"{""ja"":"""", ""en"": ""nougat""}"
4,1,#685546,280,100,burnt umber,,"{""ja"":"""", ""en"": ""burnt umber""}"
4,1,#895A47,283,101,burnt siena,,"{""ja"":"""", ""en"": ""burnt siena""}"
4,1,#5D4F48,177,102,walnut brown,,"{""ja"":"""", ""en"": ""walnut brown""}"
4,1,#474948,175,103,dark sepia,,"{""ja"":"""", ""en"": ""dark sepia""}"
4,1,#585557,275,104,warm grey VI,,"{""ja"":"""", ""en"": ""warm grey VI""}"
4,1,#626060,274,105,warm grey V,,"{""ja"":"""", ""en"": ""warm grey V""}"
4,1,#7C7E7F,273,106,warm grey IV,,"{""ja"":"""", ""en"": ""warm grey IV""}"
4,1,#A8A59F,272,107,warm grey III,,"{""ja"":"""", ""en"": ""warm grey III""}"
4,1,#C8C1BE,271,108,warm grey II,,"{""ja"":"""", ""en"": ""warm grey II""}"
4,1,#D9D0CE,270,109,warm grey I,,"{""ja"":"""", ""en"": ""warm grey I""}"
4,1,#CAD1D8,230,110,cold grey I,,"{""ja"":"""", ""en"": ""cold grey I""}"
4,1,#BEC4CC,231,111,cold grey II,,"{""ja"":"""", ""en"": ""cold grey II""}"
4,1,#ACB1B8,232,112,cold grey III,,"{""ja"":"""", ""en"": ""cold grey III""}"
4,1,#8E9498,233,113,cold grey IV,,"{""ja"":"""", ""en"": ""cold grey IV""}"
4,1,#6E7176,234,114,cold grey V,,"{""ja"":"""", ""en"": ""cold grey V""}"
4,1,#575758,235,115,cold grey VI,,"{""ja"":"""", ""en"": ""cold grey VI""}"
4,1,#484E55,181,116,Payne's grey,,"{""ja"":"""", ""en"": ""Payne's grey""}"
4,1,#050505,199,117,black,,"{""ja"":"""", ""en"": ""black""}"
4,1,#ABADB0,251,118,silver,,"{""ja"":"""", ""en"": ""silver""}"
4,1,#CDC08D,250,119,gold,,"{""ja"":"""", ""en"": ""gold""}"
4,1,#B09092,252,120,copper,,"{""ja"":"""", ""en"": ""copper""}"
5,,#e2b7cb,OP 011,1,cherry blossom,チェリーブロッサム,"{""ja"":""チェリーブロッサム"", ""en"": ""cherry blossom""}"
5,,#e3c5c0,OP 019,2,shell pink,シェルピンク,"{""ja"":""シェルピンク"", ""en"": ""shell pink""}"
5,,#f38f9e,OP 022,3,pink,ピンク,"{""ja"":""ピンク"", ""en"": ""pink""}"
5,,#f28887,OP 024,4,coral,コーラル,"{""ja"":""コーラル"", ""en"": ""coral""}"
5,,#eb8868,OP 028,5,salmon pink,サーモンピンク,"{""ja"":""サーモンピンク"", ""en"": ""salmon pink""}"
5,,#e25160,OP 031,6,carnation,カーネーション,"{""ja"":""カーネーション"", ""en"": ""carnation""}"
5,,#cd396b,OP 040,7,rose,ローズ,"{""ja"":""ローズ"", ""en"": ""rose""}"
5,,#cd3d49,OP 042,8,carmine,カーマイン,"{""ja"":""カーマイン"", ""en"": ""carmine""}"
5,,#e33b3d,OP 043,9,signal red,シグナルレッド,"{""ja"":""シグナルレッド"", ""en"": ""signal red""}"
5,,#e34231,OP 044,10,scarlet,スカーレット,"{""ja"":""スカーレット"", ""en"": ""scarlet""}"
5,,#f05734,OP 046,11,vermilion,バーミリオン,"{""ja"":""バーミリオン"", ""en"": ""vermilion""}"
5,,#ec6130,OP 047,12,tiger lily,タイガーリリー,"{""ja"":""タイガーリリー"", ""en"": ""tiger lily""}"
5,,#ef6a33,OP 048,13,orange,オレンジ,"{""ja"":""オレンジ"", ""en"": ""orange""}"
5,,#bb2c57,OP 051,14,strawberry,スイトロベリー,"{""ja"":""スイトロベリー"", ""en"": ""strawberry""}"
5,,#d13743,OP 052,15,madder red,マダーレッド,"{""ja"":""マダーレッド"", ""en"": ""madder red""}"
5,,#c93f3c,OP 054,16,light red,ライトレッド,"{""ja"":""ライトレッド"", ""en"": ""light red""}"
5,,#b94834,OP 057,17,burnt sienna,バーントシェンナ,"{""ja"":""バーントシェンナ"", ""en"": ""burnt sienna""}"
5,,#cd6139,OP 059,18,autumn leaf,オータムリーフ,"{""ja"":""オータムリーフ"", ""en"": ""autumn leaf""}"
5,,#91243f,OP 060,19,wine red,ワインレッド,"{""ja"":""ワインレッド"", ""en"": ""wine red""}"
5,,#b13951,OP 062,20,crimson,クリムソン,"{""ja"":""クリムソン"", ""en"": ""crimson""}"
5,,#bc898f,OP 076,21,ash rose,アッシュローズ,"{""ja"":""アッシュローズ"", ""en"": ""ash rose""}"
5,,#642535,OP 080,22,burgundy,バーガンディ,"{""ja"":""バーガンディ"", ""en"": ""burgundy""}"
5,,#4b393b,OP 086,23,chocolate,チョコレート,"{""ja"":""チョコレート"", ""en"": ""chocolate""}"
5,,#a33c42,OP 093,24,mahogany,マホガニー,"{""ja"":""マホガニー"", ""en"": ""mahogany""}"
5,,#bb5953,OP 096,25,cinnamon,シナモン,"{""ja"":""シナモン"", ""en"": ""cinnamon""}"
5,,#a93a2c,OP 097,26,brick,ブリック,"{""ja"":""ブリック"", ""en"": ""brick""}"
5,,#8e3e26,OP 098,27,cocoa,ココア,"{""ja"":""ココア"", ""en"": ""cocoa""}"
5,,#893a22,OP 099,28,brown,ブラウン,"{""ja"":""ブラウン"", ""en"": ""brown""}"
5,,#e9dfc4,OP 116,29,ivory,アイボリ,"{""ja"":""アイボリ"", ""en"": ""ivory""}"
5,,#eab49a,OP 120,30,peach,ピーチ,"{""ja"":""ピーチ"", ""en"": ""peach""}"
5,,#edc39e,OP 122,31,jaune brillant,ジョーンブリヤン,"{""ja"":""ジョーンブリヤン"", ""en"": ""jaune brillant""}"
5,,#eace93,OP 123,32,flesh,フレッシュ,"{""ja"":""フレッシュ"", ""en"": ""flesh""}"
5,,#e5d36c,OP 127,33,cream,クリーム,"{""ja"":""クリーム"", ""en"": ""cream""}"
5,,#f2a659,OP 131,34,apricot,アプリコット,"{""ja"":""アプリコット"", ""en"": ""apricot""}"
5,,#f5cf6c,OP 134,35,naples yellow,ネイプルスイエロー,"{""ja"":""ネイプルスイエロー"", ""en"": ""naples yellow""}"
5,,#f29033,OP 140,36,tangerine,タンジェリン,"{""ja"":""タンジェリン"", ""en"": ""tangerine""}"
5,,#f4ac32,OP 142,37,marigold,マリゴールド,"{""ja"":""マリゴールド"", ""en"": ""marigold""}"
5,,#f4c935,OP 143,38,sunflower,サンフラワー,"{""ja"":""サンフラワー"", ""en"": ""sunflower""}"
5,,#ead24f,OP 145,39,dandelion,ダンディライオン,"{""ja"":""ダンディライオン"", ""en"": ""dandelion""}"
5,,#f2d938,OP 147,40,canary yellow,カナリーイエロー,"{""ja"":""カナリーイエロー"", ""en"": ""canary yellow""}"
5,,#efde70,OP 149,41,lemon,レモン,"{""ja"":""レモン"", ""en"": ""lemon""}"
5,,#d69739,OP 153,42,yellow ochre,イエローオーカー,"{""ja"":""イエローオーカー"", ""en"": ""yellow ochre""}"
5,,#d7b835,OP 165,43,mustard,マスタード,"{""ja"":""マスタード"", ""en"": ""mustard""}"
5,,#cca18c,OP 171,44,cork,コルク,"{""ja"":""コルク"", ""en"": ""cork""}"
5,,#c3aa8d,OP 173,45,beige,ベージュ,"{""ja"":""ベージュ"", ""en"": ""beige""}"
5,,#cbbc8d,OP 175,46,sand,サンド,"{""ja"":""サンド"", ""en"": ""sand""}"
5,,#3e3030,OP 180,47,burnt umber,バーントアンバー,"{""ja"":""バーントアンバー"", ""en"": ""burnt umber""}"
5,,#403734,OP 182,48,sepia,セピア,"{""ja"":""セピア"", ""en"": ""sepia""}"
5,,#7f6140,OP 184,49,raw umber,ローアンバー,"{""ja"":""ローアンバー"", ""en"": ""raw umber""}"
5,,#4c4a38,OP 187,50,olive drab,オリーブドラブ,"{""ja"":""オリーブドラブ"", ""en"": ""olive drab""}"
5,,#435126,OP 189,51,olive green,オリーブグリーン,"{""ja"":""オリーブグリーン"", ""en"": ""olive green""}"
5,,#a56533,OP 192,52,tan,タン,"{""ja"":""タン"", ""en"": ""tan""}"
5,,#ac853f,OP 194,53,kahki,カーキ,"{""ja"":""カーキ"", ""en"": ""kahki""}"
5,,#8f7636,OP 195,54,olive brown,オリーブブラウン,"{""ja"":""オリーブブラウン"", ""en"": ""olive brown""}"
5,,#a09e3f,OP 198,55,olive yellow,オリーブイエロー,"{""ja"":""オリーブイエロー"", ""en"": ""olive yellow""}"
5,,#b2d782,OP 222,56,lettuce green,レタスグリーン,"{""ja"":""レタスグリーン"", ""en"": ""lettuce green""}"
5,,#83c9a0,OP 225,57,cobalt green,コバルトグリーン,"{""ja"":""コバルトグリーン"", ""en"": ""cobalt green""}"
5,,#66c2aa,OP 227,58,jade green,ジェードグリーン,"{""ja"":""ジェードグリーン"", ""en"": ""jade green""}"
5,,#8cceca,OP 228,59,ice green,アイスグリーン,"{""ja"":""アイスグリーン"", ""en"": ""ice green""}"
5,,#5ebe87,OP 235,60,emerald green,エメラルドグリーン,"{""ja"":""エメラルドグリーン"", ""en"": ""emerald green""}"
5,,#e1e36f,OP 240,61,chartreuse green,シャルトルーズグリーン,"{""ja"":""シャルトルーズグリーン"", ""en"": ""chartreuse green""}"
5,,#bfdc6b,OP 242,62,spring green,スプリンググリーン,"{""ja"":""スプリンググリーン"", ""en"": ""spring green""}"
5,,#97cd68,OP 243,63,fresh green,フレッシュグリーン,"{""ja"":""フレッシュグリーン"", ""en"": ""fresh green""}"
5,,#3bab6e,OP 245,64,summer green,サマーグリーン,"{""ja"":""サマーグリーン"", ""en"": ""summer green""}"
5,,#1e688c,OP 247,65,viridian,ビリジャン,"{""ja"":""ビリジャン"", ""en"": ""viridian""}"
5,,#1f6a8e,OP 248,66,peacock green,ピーコックグリーン,"{""ja"":""ピーコックグリーン"", ""en"": ""peacock green""}"
5,,#aaca3e,OP 251,67,apple green,アップルグリーン,"{""ja"":""アップルグリーン"", ""en"": ""apple green""}"
5,,#659f43,OP 254,68,ever green,エバーグリーン,"{""ja"":""エバーグリーン"", ""en"": ""ever green""}"
5,,#2d7648,OP 255,69,malachite green,マラカイトグリーン,"{""ja"":""マラカイトグリーン"", ""en"": ""malachite green""}"
5,,#2d7648,OP 262,70,sap green,サップグリーン,"{""ja"":""サップグリーン"", ""en"": ""sap green""}"
5,,#39793f,OP 264,71,holly green,ホリーグリーン,"{""ja"":""ホリーグリーン"", ""en"": ""holly green""}"
5,,#1b5347,OP 267,72,forest green,フォレストグリーン,"{""ja"":""フォレストグリーン"", ""en"": ""forest green""}"
5,,#1e7273,OP 269,73,triton green,トリトングリーン,"{""ja"":""トリトングリーン"", ""en"": ""triton green""}"
5,,#b2b182,OP 270,74,willow green,ウィローグリーン,"{""ja"":""ウィローグリーン"", ""en"": ""willow green""}"
5,,#b5ce8c,OP 271,75,opal green,オパールグリーン,"{""ja"":""オパールグリーン"", ""en"": ""opal green""}"
5,,#98ba8a,OP 272,76,misty green,ミスティグリーン,"{""ja"":""ミスティグリーン"", ""en"": ""misty green""}"
